"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"gf_geno","b","sel","Lewisetta",3,-0.321174879745554,0.125940904687537,-0.120843595623329,0.57379267840785,-0.128921130638099,0.394733526234106,0.103153303379571,0.0146750524109015,-0.49265395717071,0.0144529168609403,-0.417698515306723,0.0422569231792971,-0.333678220475079,0.0276120096503322,0.24270792151596,0.223308689084983,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",4,-0.342676802590092,0.10116820833445,-0.165503185310211,0.439601496767015,-0.136504726557987,0.367520738242143,0.117427391033369,0.0362383947289608,-0.419408892462056,0.041334633502446,-0.559558388429761,0.00446849817594389,-0.447432159273402,0.00313994745503096,0.175903819076248,0.395604395604396,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",1,0.113222225606841,0.598358983792426,0.115589526248401,0.590680933005546,0.0606687673591053,0.68878759166932,0.0128192723713664,0.400747277208045,-0.260693750951393,0.218559619426763,-0.499136590618097,0.0130263662030555,-0.326094624555191,0.0313428494257729,0.0679612317851065,0.0085034013605442,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",2,0.06553793454491,0.760932616468671,-0.015762208124782,0.94172592099817,-0.0151671918397763,0.920244901471896,0.00429522086441289,0.226331480138587,-0.215269717919135,0.312394190797338,-0.491255486555706,0.0147768507139875,-0.310927432715415,0.0401145602618144,0.0463410514529841,0.0362383947289607,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",3,-0.292547785765728,0.165366329680681,-0.409817411244332,0.0467175810124694,-0.273009453115974,0.0715054164448744,0.08558420695643,0.0351335656213706,-0.690145679710811,0.000189936974141436,-0.764467094051928,1.36665350407666e-05,-0.546018906231948,0.000312744268179226,0.476301059223498,0.116144018583043,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.29657954408882,0.180157707530403,-0.422650918890822,0.0500375151225423,-0.285360154757648,0.0728664567249499,0.087959425971932,0.00203654399814589,-0.553538776010408,0.00752859753285764,-0.64336230049195,0.00123721912993098,-0.493718362993391,0.0019135787863865,0.3064051765471,0.157848007921845,FALSE,TRUE
"rda","b","sel","Lewisetta",1,-0.581082540977059,0.00290399118388608,-0.554304319054834,0.00494298186424049,-0.439848563353514,0.00368861664278366,0.337656919428356,0.441836202399583,-0.542234037800562,0.00619527154757178,-0.530661006867661,0.00763492560638873,-0.386763391914297,0.0106740181183137,0.294017751749501,0.411459683691989,TRUE,TRUE
"rda","b","sel","Lewisetta",2,-0.610396129633783,0.00153690884141826,-0.559558388429761,0.00446849817594389,-0.409514179673961,0.00686379498544903,0.372583435071902,0.334525672553841,-0.709157540430687,0.000104578555026365,-0.735569712489827,4.20908483047945e-05,-0.568769693991613,0.00017355177880683,0.502904417149701,0.624405842191686,TRUE,TRUE
"rda","b","sel","Lewisetta",3,-0.691347078774183,0.000183147232903662,-0.514898798742879,0.0100343488987235,-0.37159620007452,0.0141643459688252,0.477960783329597,0.346211440551063,-0.67159948508579,0.000326341795039317,-0.685656053428017,0.000217291748351145,-0.515684522552395,0.000663440613357049,0.451045868367497,0.54765879640671,TRUE,TRUE
"rda","b","sel","Lewisetta",4,-0.681771535722491,0.000243666720182928,-0.520152868117806,0.00917357020755194,-0.364012604154632,0.0162609367804503,0.464812426921403,0.388140161725067,-0.564293106923498,0.00407433155127525,-0.698791226865336,0.000145603762147242,-0.508100926632507,0.000795961424972523,0.318426710521374,0.538461538461539,TRUE,TRUE
"rda","b","sel","YorkRiver",1,-0.0277524034947111,0.897575359472779,0.0262703468746367,0.903019284199733,0.0303343836795527,0.841284697315236,0.000770195899733252,0.00389538119087368,-0.231679778904677,0.276017052516189,-0.25744939937144,0.22455219894311,-0.189589897997204,0.210728255863709,0.0536755199533201,0.0666666666666667,FALSE,FALSE
"rda","b","sel","YorkRiver",2,-0.121116869299943,0.572920145789399,-0.0735569712489827,0.73266679163685,-0.045501575519329,0.76389059347054,0.0146692960290195,0.000725163161711377,-0.30017090879351,0.15411688651318,-0.401936307181941,0.0515382922960607,-0.295760240875639,0.0508857412163913,0.0901025744859219,0.172506738544475,FALSE,FALSE
"rda","b","sel","YorkRiver",3,-0.51872223226417,0.0094016462399295,-0.564812457804689,0.00403293756414963,-0.348845412314856,0.0212855731197488,0.269072754245123,0.512195121951219,-0.706659966856582,0.000113402150381225,-0.7303156431149,5.08614607440474e-05,-0.546018906231948,0.000312744268179226,0.499368308757745,0.755226480836237,TRUE,TRUE
"rda","b","sel","YorkRiver",4,-0.555510072128401,0.00727415794179947,-0.570550298314258,0.00555725825763406,-0.366891627545548,0.0211026818461498,0.308591440236101,0.335182263883321,-0.341814982425976,0.119471531358749,-0.421513231356795,0.0507232722717801,-0.303478259821626,0.05644942712165,0.116837482210871,0.298531884011225,TRUE,FALSE
"env_dist","b","sel","Lewisetta",1,-0.265986242398245,0.209015075524219,-0.291600850308467,0.166802778555692,-0.204757089836981,0.176474290774069,0.0707486811451378,0.137789701169983,-0.299825973166895,0.154613907136447,-0.231179052496803,0.277085495255525,-0.136504726557987,0.367520738242143,0.0898956141854753,0.0830524587330396,FALSE,FALSE
