#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2016 01 09 23 00 1.0 8.50 999.00 15.70 999.0 11.70 7.40 1 99.00 99.00
2016 01 10 00 00 1.0 8.40 999.00 15.90 999.0 11.50 7.00 1 99.00 99.00
2016 01 10 01 00 1.0 8.30 999.00 16.00 999.0 11.30 6.90 1 99.00 99.00
2016 01 10 02 00 1.0 8.30 999.00 16.00 999.0 11.10 6.40 1 99.00 99.00
2016 01 10 03 00 1.0 8.30 999.00 16.00 999.0 11.10 6.70 1 99.00 99.00
2016 01 10 04 00 1.0 8.50 999.00 16.00 999.0 11.20 6.10 2 99.00 99.00
2016 01 10 05 00 1.0 8.40 999.00 15.90 999.0 11.10 5.20 2 99.00 99.00
2016 01 10 06 00 1.0 8.40 999.00 15.90 999.0 11.10 5.20 2 99.00 99.00
2016 01 10 07 00 1.0 8.30 999.00 16.00 999.0 11.00 5.10 1 99.00 99.00
2016 01 10 08 00 1.0 8.40 999.00 16.00 999.0 11.00 4.90 1 99.00 99.00
2016 01 10 09 00 1.0 8.30 999.00 16.00 999.0 10.90 5.00 1 99.00 99.00
2016 01 10 10 00 1.0 8.30 999.00 16.00 999.0 10.90 4.80 1 99.00 99.00
2016 01 10 11 00 1.0 8.30 999.00 16.10 999.0 10.90 4.90 1 99.00 99.00
2016 01 10 12 00 1.0 8.30 999.00 16.00 999.0 10.90 5.00 1 99.00 99.00
2016 01 10 13 00 1.0 8.30 999.00 16.00 999.0 10.90 4.90 1 99.00 99.00
2016 01 10 14 00 1.0 8.50 999.00 15.20 999.0 11.30 4.70 1 99.00 99.00
2016 01 10 15 00 1.0 8.50 999.00 14.30 999.0 12.00 3.80 1 99.00 99.00
2016 01 10 16 00 1.0 8.50 999.00 14.20 999.0 12.20 3.90 2 99.00 99.00
2016 01 10 17 00 1.0 8.60 999.00 14.30 999.0 12.20 5.10 2 99.00 99.00
2016 01 10 18 00 1.0 8.70 999.00 14.40 999.0 12.10 4.00 2 99.00 99.00
2016 01 10 19 00 1.0 8.70 999.00 14.30 999.0 12.30 4.50 2 99.00 99.00
2016 01 10 20 00 1.0 8.60 999.00 14.50 999.0 12.10 5.40 2 99.00 99.00
2016 01 10 21 00 1.0 8.70 999.00 14.60 999.0 12.10 7.70 2 99.00 99.00
2016 01 10 22 00 1.0 8.60 999.00 13.60 999.0 12.60 8.80 2 99.00 99.00
2016 01 10 23 00 1.0 8.50 999.00 13.50 999.0 12.50 8.30 2 99.00 99.00
2016 01 11 00 00 1.0 8.50 999.00 13.70 999.0 12.20 7.80 2 99.00 99.00
2016 01 11 01 00 1.0 8.60 999.00 13.80 999.0 12.10 7.60 2 99.00 99.00
2016 01 11 02 00 1.0 8.50 999.00 14.30 999.0 11.80 7.00 2 99.00 99.00
2016 01 11 03 00 1.0 8.60 999.00 14.30 999.0 11.60 7.10 4 99.00 99.00
2016 01 11 04 00 1.0 8.60 999.00 14.80 999.0 11.30 6.40 4 99.00 99.00
2016 01 11 05 00 1.0 8.60 999.00 15.60 999.0 10.90 5.90 4 99.00 99.00
2016 01 11 06 00 1.0 8.60 999.00 16.20 999.0 10.70 5.40 2 99.00 99.00
2016 01 11 07 00 1.0 8.60 999.00 16.30 999.0 10.70 5.30 2 99.00 99.00
2016 01 11 08 00 1.0 8.40 999.00 15.50 999.0 10.90 6.10 2 99.00 99.00
2016 01 11 09 00 1.0 8.40 999.00 15.60 999.0 10.80 5.70 3 99.00 99.00
2016 01 11 10 00 1.0 8.20 999.00 15.10 999.0 10.90 6.20 4 99.00 99.00
2016 01 11 11 00 1.0 8.20 999.00 15.40 999.0 10.80 5.90 3 99.00 99.00
2016 01 11 12 00 1.0 8.20 999.00 15.80 999.0 10.60 5.60 4 99.00 99.00
2016 01 11 13 00 1.0 7.90 999.00 15.90 999.0 10.50 6.40 6 99.00 99.00
2016 01 11 14 00 1.0 8.00 999.00 16.10 999.0 10.50 5.10 5 99.00 99.00
2016 01 11 15 00 1.0 8.20 999.00 16.30 999.0 10.60 3.10 3 99.00 99.00
2016 01 11 16 00 1.0 8.10 999.00 16.30 999.0 10.80 1.70 1 99.00 99.00
2016 01 11 17 00 1.0 8.20 999.00 16.20 999.0 10.80 1.50 1 99.00 99.00
2016 01 11 18 00 1.0 8.30 999.00 16.30 999.0 10.80 1.60 1 99.00 99.00
2016 01 11 19 00 1.0 8.30 999.00 16.30 999.0 10.90 2.10 1 99.00 99.00
2016 01 11 20 00 1.0 8.30 999.00 16.30 999.0 11.00 2.60 1 99.00 99.00
2016 01 11 21 00 1.0 8.30 999.00 16.30 999.0 11.00 3.80 1 99.00 99.00
2016 01 11 22 00 1.0 8.20 999.00 16.30 999.0 11.00 4.30 1 99.00 99.00
2016 01 11 23 00 1.0 8.20 999.00 16.40 999.0 11.00 4.40 1 99.00 99.00
2016 01 12 00 00 1.0 8.10 999.00 16.20 999.0 10.90 5.10 2 99.00 99.00
2016 01 12 01 00 1.0 8.20 999.00 16.20 999.0 10.80 5.60 2 99.00 99.00
2016 01 12 02 00 1.0 8.20 999.00 16.10 999.0 10.90 6.00 2 99.00 99.00
2016 01 12 03 00 1.0 8.20 999.00 16.10 999.0 10.90 6.00 2 99.00 99.00
2016 01 12 04 00 1.0 8.10 999.00 16.10 999.0 10.90 5.70 2 99.00 99.00
2016 01 12 05 00 1.0 8.10 999.00 16.10 999.0 10.90 5.50 2 99.00 99.00
2016 01 12 06 00 1.0 8.00 999.00 16.00 999.0 10.90 5.40 2 99.00 99.00
2016 01 12 07 00 1.0 8.00 999.00 16.00 999.0 10.90 5.30 1 99.00 99.00
2016 01 12 08 00 1.0 8.00 999.00 16.00 999.0 10.90 5.30 1 99.00 99.00
2016 01 12 09 00 1.0 7.70 999.00 15.90 999.0 10.90 5.10 1 99.00 99.00
2016 01 12 10 00 1.0 7.90 999.00 16.10 999.0 10.80 5.20 2 99.00 99.00
2016 01 12 11 00 1.0 7.90 999.00 16.10 999.0 10.80 5.20 1 99.00 99.00
2016 01 12 12 00 1.0 7.90 999.00 16.10 999.0 10.80 5.40 2 99.00 99.00
2016 01 12 13 00 1.0 7.80 999.00 15.90 999.0 10.80 6.00 2 99.00 99.00
2016 01 12 14 00 1.0 7.80 999.00 15.80 999.0 10.80 4.50 1 99.00 99.00
2016 01 12 15 00 1.0 8.00 999.00 16.00 999.0 10.80 3.80 2 99.00 99.00
2016 01 12 16 00 1.0 7.90 999.00 15.80 999.0 11.00 3.70 2 99.00 99.00
2016 01 12 17 00 1.0 7.80 999.00 15.40 999.0 11.10 3.20 2 99.00 99.00
2016 01 12 18 00 1.0 7.90 999.00 15.40 999.0 11.10 4.10 2 99.00 99.00
2016 01 12 19 00 1.0 7.90 999.00 15.40 999.0 11.20 4.60 2 99.00 99.00
2016 01 12 20 00 1.0 7.90 999.00 15.40 999.0 11.20 4.70 1 99.00 99.00
2016 01 12 21 00 1.0 7.90 999.00 15.50 999.0 11.20 5.20 1 99.00 99.00
2016 01 12 22 00 1.0 7.90 999.00 15.40 999.0 11.20 5.80 1 99.00 99.00
2016 01 12 23 00 1.0 7.90 999.00 15.20 999.0 11.20 6.20 2 99.00 99.00
2016 01 13 00 00 1.0 7.90 999.00 15.40 999.0 11.10 6.50 7 99.00 99.00
2016 01 13 01 00 1.0 7.90 999.00 15.10 999.0 11.20 6.40 3 99.00 99.00
2016 01 13 02 00 1.0 7.90 999.00 15.00 999.0 11.10 6.50 3 99.00 99.00
2016 01 13 03 00 1.0 7.90 999.00 15.20 999.0 11.00 6.80 4 99.00 99.00
2016 01 13 04 00 1.0 7.90 999.00 15.40 999.0 11.00 6.60 4 99.00 99.00
2016 01 13 05 00 1.0 7.80 999.00 15.40 999.0 10.90 6.60 4 99.00 99.00
2016 01 13 06 00 1.0 7.80 999.00 15.50 999.0 10.90 6.40 3 99.00 99.00
2016 01 13 07 00 1.0 7.70 999.00 15.60 999.0 10.80 6.30 3 99.00 99.00
2016 01 13 08 00 1.0 7.70 999.00 15.80 999.0 10.80 6.10 3 99.00 99.00
2016 01 13 09 00 1.0 7.60 999.00 15.50 999.0 10.90 6.20 4 99.00 99.00
2016 01 13 10 00 1.0 7.50 999.00 15.70 999.0 10.80 5.90 3 99.00 99.00
2016 01 13 11 00 1.0 7.40 999.00 16.20 999.0 10.70 5.80 5 99.00 99.00
2016 01 13 12 00 1.0 7.30 999.00 15.90 999.0 10.70 5.90 5 99.00 99.00
2016 01 13 13 00 1.0 7.30 999.00 15.80 999.0 10.80 6.40 4 99.00 99.00
